Model parameters: 32,557,208
Starting training...
Starting training...
Epoch 12, Batch 80/164, Loss: 0.1511
Epoch 12, Batch 90/164, Loss: 0.2508
Epoch 12, Batch 100/164, Loss: 0.0572
Epoch 12, Batch 110/164, Loss: 0.1381
Epoch 12, Batch 120/164, Loss: 0.0733
Epoch 12, Batch 130/164, Loss: 0.0141
Epoch 12, Batch 140/164, Loss: 0.0294
Epoch 12, Batch 150/164, Loss: 0.2645
Epoch 12, Batch 160/164, Loss: 0.1475
Epoch 12/20 | Train Loss: 0.1546 Acc: 0.9485 | Val Loss: 0.3062 Acc: 0.9128 | LR: 0.000050 | Time: 62.8s
Epoch 13, Batch 0/164, Loss: 0.0708
Epoch 13, Batch 10/164, Loss: 0.0630
Epoch 13, Batch 20/164, Loss: 0.2948
Epoch 13, Batch 30/164, Loss: 0.1353
Epoch 13, Batch 40/164, Loss: 0.0373
Epoch 13, Batch 50/164, Loss: 0.0567
Epoch 13, Batch 60/164, Loss: 0.2801
Epoch 13, Batch 70/164, Loss: 0.5080
Epoch 13, Batch 80/164, Loss: 0.1476
Epoch 13, Batch 90/164, Loss: 0.0603
Epoch 13, Batch 100/164, Loss: 0.1009
Epoch 13, Batch 110/164, Loss: 0.1364
Epoch 13, Batch 120/164, Loss: 0.0662
Epoch 13, Batch 130/164, Loss: 0.2347
Epoch 13, Batch 140/164, Loss: 0.2439
Epoch 13, Batch 150/164, Loss: 0.0783
Epoch 13, Batch 160/164, Loss: 0.0888
Epoch 13/20 | Train Loss: 0.1314 Acc: 0.9596 | Val Loss: 0.3210 Acc: 0.9146 | LR: 0.000050 | Time: 61.2s
Epoch 14, Batch 0/164, Loss: 0.0193
Epoch 14, Batch 10/164, Loss: 0.0314
Epoch 14, Batch 20/164, Loss: 0.0526
Epoch 14, Batch 30/164, Loss: 0.0800
Epoch 14, Batch 40/164, Loss: 0.0463
Epoch 14, Batch 50/164, Loss: 0.1175
Epoch 14, Batch 60/164, Loss: 0.0670
Epoch 14, Batch 70/164, Loss: 0.0219
Epoch 14, Batch 80/164, Loss: 0.0227
Epoch 14, Batch 90/164, Loss: 0.0264
Epoch 14, Batch 100/164, Loss: 0.0620
Epoch 14, Batch 110/164, Loss: 0.4240
Epoch 14, Batch 120/164, Loss: 0.0114
Epoch 14, Batch 130/164, Loss: 0.0370
Epoch 14, Batch 140/164, Loss: 0.0267
Epoch 14, Batch 150/164, Loss: 0.0262
Epoch 14, Batch 160/164, Loss: 0.1419
Epoch 14/20 | Train Loss: 0.1370 Acc: 0.9557 | Val Loss: 0.3333 Acc: 0.9021 | LR: 0.000050 | Time: 61.4s
Epoch 15, Batch 0/164, Loss: 0.2993
Epoch 15, Batch 10/164, Loss: 0.0316
Epoch 15, Batch 20/164, Loss: 0.1609
Epoch 15, Batch 30/164, Loss: 0.0606
Epoch 15, Batch 40/164, Loss: 0.2418
Epoch 15, Batch 50/164, Loss: 0.1017
Epoch 15, Batch 60/164, Loss: 0.2429
Epoch 15, Batch 70/164, Loss: 0.2891
Epoch 15, Batch 80/164, Loss: 0.0249
Epoch 15, Batch 90/164, Loss: 0.0734
Epoch 15, Batch 100/164, Loss: 0.1484
Epoch 15, Batch 110/164, Loss: 0.0502
Epoch 15, Batch 120/164, Loss: 0.1189
Epoch 15, Batch 130/164, Loss: 0.2955
Epoch 15, Batch 140/164, Loss: 0.1957
Epoch 15, Batch 150/164, Loss: 0.0711
Epoch 15, Batch 160/164, Loss: 0.1918
Epoch 15/20 | Train Loss: 0.1426 Acc: 0.9489 | Val Loss: 0.2862 Acc: 0.9253 | LR: 0.000050 | Time: 59.1s
Epoch 16, Batch 0/164, Loss: 0.0782
Epoch 16, Batch 10/164, Loss: 0.0799
Epoch 16, Batch 20/164, Loss: 0.0371
Epoch 16, Batch 30/164, Loss: 0.0131
Epoch 16, Batch 40/164, Loss: 0.0542
Epoch 16, Batch 50/164, Loss: 0.1327
Epoch 16, Batch 60/164, Loss: 0.1025
Epoch 16, Batch 70/164, Loss: 0.1078
Epoch 16, Batch 80/164, Loss: 0.0356
Epoch 16, Batch 90/164, Loss: 0.1728
Epoch 16, Batch 100/164, Loss: 0.4437
Epoch 16, Batch 110/164, Loss: 0.2546
Epoch 16, Batch 120/164, Loss: 0.1957
Epoch 16, Batch 130/164, Loss: 0.1155
Epoch 16, Batch 140/164, Loss: 0.2518
Epoch 16, Batch 150/164, Loss: 0.0628
Epoch 16, Batch 160/164, Loss: 0.4139
Epoch 16/20 | Train Loss: 0.1184 Acc: 0.9641 | Val Loss: 0.3048 Acc: 0.9181 | LR: 0.000050 | Time: 58.9s
Epoch 17, Batch 0/164, Loss: 0.0242
Epoch 17, Batch 10/164, Loss: 0.0313
Epoch 17, Batch 20/164, Loss: 0.1330
Epoch 17, Batch 30/164, Loss: 0.0434
Epoch 17, Batch 40/164, Loss: 0.2643
Epoch 17, Batch 50/164, Loss: 0.1336
Epoch 17, Batch 60/164, Loss: 0.1088
Epoch 17, Batch 70/164, Loss: 0.3297
Epoch 17, Batch 80/164, Loss: 0.4152
Epoch 17, Batch 90/164, Loss: 0.0285
Epoch 17, Batch 100/164, Loss: 0.0694
Epoch 17, Batch 110/164, Loss: 0.1827
Epoch 17, Batch 120/164, Loss: 0.6554
Epoch 17, Batch 130/164, Loss: 0.0549
Epoch 17, Batch 140/164, Loss: 0.1870
Epoch 17, Batch 150/164, Loss: 0.0869
Epoch 17, Batch 160/164, Loss: 0.0942
Epoch 17/20 | Train Loss: 0.1195 Acc: 0.9622 | Val Loss: 0.3242 Acc: 0.9021 | LR: 0.000050 | Time: 61.1s
Epoch 18, Batch 0/164, Loss: 0.0248
Epoch 18, Batch 10/164, Loss: 0.0270
Epoch 18, Batch 20/164, Loss: 0.0854
Epoch 18, Batch 30/164, Loss: 0.0183
Epoch 18, Batch 40/164, Loss: 0.1432
Epoch 18, Batch 50/164, Loss: 0.0895
Epoch 18, Batch 60/164, Loss: 0.1509
Epoch 18, Batch 70/164, Loss: 0.0746
Epoch 18, Batch 80/164, Loss: 0.0172
Epoch 18, Batch 90/164, Loss: 0.4143
Epoch 18, Batch 100/164, Loss: 0.0143
Epoch 18, Batch 110/164, Loss: 0.2868
Epoch 18, Batch 120/164, Loss: 0.0982
